manager_name,position,player_name
Lernier,C,Logan O'Hoppe
Lernier,1B,Triston Casas
Lernier,2B,Brandon Lowe
Lernier,3B,Austin Riley
Lernier,SS,Bobby Witt Jr.
Lernier,LF,Jackson Chourio
Lernier,RF,Cody Bellinger
Lernier,CF,Julio Rodríguez
Lernier,DH,Shohei Ohtani
Lernier,BEN,Vinnie Pasquantino
Lernier,BEN,Byron Buxton
Manny,C,Will Smith
Manny,1B,Josh Naylor
Manny,2B,Jose Altuve
Manny,3B,Max Muncy
Manny,SS,Corey Seager
Manny,LF,Jazz Chisholm Jr.
Manny,RF,Jorge Soler
Manny,CF,Aaron Judge
Manny,DH,Bryce Harper
Manny,BEN,Joc Pederson
Manny,BEN,Randy Arozarena
Goldberg,C,William Contreras
Goldberg,1B,Freddie Freeman
Goldberg,2B,Marcus Semien
Goldberg,3B,Mark Vientos
Goldberg,SS,Francisco Lindor
Goldberg,LF,Yordan Alvarez
Goldberg,RF,Fernando Tatis Jr.
Goldberg,CF,Jackson Merrill
Goldberg,DH,Taylor Ward
Goldberg,BEN,Ronald Acuña Jr.
Goldberg,BEN,Riley Greene
Priest,C,Willson Contreras
Priest,1B,Jake Burger
Priest,2B,Matt McLain
Priest,3B,Manny Machado
Priest,SS,Willy Adames
Priest,LF,Kyle Schwarber
Priest,RF,Kyle Tucker
Priest,CF,Corbin Carroll
Priest,DH,Brent Rooker
Priest,BEN,Junior Caminero
Priest,BEN,Wyatt Langford
Gerson,C,Shea Langeliers
Gerson,1B,Pete Alonso
Gerson,2B,Ketel Marte
Gerson,3B,Vladimir Guerrero Jr.
Gerson,SS,Oneil Cruz
Gerson,LF,Heliot Ramos
Gerson,RF,Matt Wallner
Gerson,CF,Luis Robert Jr.
Gerson,DH,Eugenio Suárez
Gerson,BEN,Colton Cowser
Gerson,BEN,Michael Harris II
BJC,C,Salvador Perez
BJC,1B,Matt Olson
BJC,2B,Ozzie Albies
BJC,3B,Rafael Devers
BJC,SS,Ezequiel Tovar
BJC,LF,Juan Soto
BJC,RF,Adolis García
BJC,CF,Bryan Reynolds
BJC,DH,Christian Walker
BJC,BEN,Carlos Correa
BJC,BEN,Nolan Jones
Byrne,C,Adley Rutschman
Byrne,1B,Rhys Hoskins
Byrne,2B,Mookie Betts
Byrne,3B,José Ramírez
Byrne,SS,Elly De La Cruz
Byrne,LF,Marcell Ozuna
Byrne,RF,Lawrence Butler
Byrne,CF,Mike Trout
Byrne,DH,Alex Bregman
Byrne,BEN,Paul Goldschmidt
Byrne,BEN,James Wood
Sean,C,Cal Raleigh
Sean,1B,Michael Toglia
Sean,2B,Christopher Morel
Sean,3B,Matt Chapman
Sean,SS,Gunnar Henderson
Sean,LF,Teoscar Hernández
Sean,RF,Anthony Santander
Sean,CF,Brenton Doyle
Sean,DH,Tyler O'Neill
Sean,BEN,Isaac Paredes
Sean,BEN,Ian Happ